date,company,자본총계,자산총계,단기매입채무,부채총계,유동부채,유동자산,재고자산,장기매입채무및기타채무,매출채권,매입채무,매입채무 및 미지급금,매출채권 및 수취채권,장기성매출채권,매입채무및기타채무,매출채권및기타채권,매출채권및계약자산,장기매출채권,장기매입채무,매입채무 및 기타채무,매출채권 및 기타채권
20171231,에스에프에이,984854671719.0,1810808943335.0,,861069798296.0,540949050902.0,1133098145102.0,28526441714.0,,165169846902.0,,,,,,,,,,177243806554.0,
20191231,에이프런티어,23613486310.0,101158754367.0,,77545268057.0,69669698739.0,83779224973.0,8464658838.0,,,5886883934.0,,,,,4185853897.0,,,,,
20181231,에이프런티어,28352404316.0,33992406044.0,,5640001728.0,5640001728.0,29054282453.0,6689586290.0,,,3207642388.0,,,,,2551764054.0,,,,,
20171231,에이프런티어,25849489875.0,32949811650.0,,7100321775.0,6026321775.0,28828649342.0,7389027816.0,,,4037115091.0,,,,,3282370119.0,,,,,
20191231,엔피케이,40316380816.0,76532515918.0,,36216135102.0,13184409459.0,25775431226.0,3454215696.0,,7373312303.0,5729989294.0,,,,,,,,,,
20181231,엔피케이,41476069525.0,76952969286.0,,35476899761.0,11885138929.0,32681783147.0,3978101874.0,,7328342490.0,5013302974.0,,,,,,,,,,
20171231,엔피케이,43236237234.0,76628791130.0,,33392553896.0,19402021014.0,35237973485.0,4620883638.0,,7858592604.0,9438341870.0,,,,,,,,,,
20191231,엘오티베큠,126549412321.0,210032401668.0,,83482989347.0,50156583593.0,103433097437.0,25611668273.0,,27827274099.0,11331087136.0,,,,,,,1462800000.0,,,
20181231,엘오티베큠,123341505760.0,175452869284.0,,52111363524.0,44348309252.0,84368015380.0,21434447272.0,,11891714196.0,7174442544.0,,,,,,,,,,
20171231,엘오티베큠,107671010414.0,153092789874.0,,45421779460.0,29260784236.0,88877070846.0,18985834868.0,,14675895225.0,9570871490.0,,,,,,,,,,
20191231,예스티,58391614576.0,172007119266.0,,113615504690.0,42502263604.0,49062694605.0,10217881390.0,,16527801926.0,5815871398.0,,,,,,,,,,
20181231,예스티,55604159986.0,134904940514.0,,79300780528.0,53329018586.0,57191824002.0,25000380572.0,,14248025556.0,6513026408.0,,,,,,,,,,
20171231,예스티,58471420218.0,124066503312.0,,65595083094.0,32488716284.0,80199403177.0,27207873895.0,,20169722257.0,12877275795.0,,,,,,,,,,
20191231,오르비텍,68772963897.0,126660776308.0,,57887812411.0,50854639020.0,59027818857.0,22135230164.0,,21148366278.0,7833270882.0,,,,,,,,,,
20181231,오르비텍,68169349053.0,126537694180.0,,58368345127.0,45416328400.0,59650488487.0,22782854101.0,,21518337211.0,9870340055.0,,,,,,,,,,
20171231,오르비텍,59768656055.0,114452014461.0,,54683358406.0,25691757258.0,53894025377.0,13890857417.0,,12238166445.0,7175367541.0,,,,,,,,,,
20191231,와이엔텍,134763106927.0,242863497533.0,,108100390606.0,58617545781.0,33118989958.0,111730111.0,,,,,,,,,,,,,
20181231,와이엔텍,116581785987.0,209132059551.0,,92550273564.0,41616114061.0,22122490957.0,96655013.0,,,,,,,,,,,,,
20171231,와이엔텍,107554175898.0,188271346930.0,,80717171032.0,35603057405.0,17694788876.0,81154295.0,,,,,,,,,,,,,
20191231,와이엠티,90433111411.0,163928259405.0,,73495147994.0,45463224499.0,90602242426.0,13700143993.0,,26474286557.0,3300151433.0,,,,,,,,,,
20181231,와이엠티,74410595904.0,127077961937.0,,52667366033.0,25975523314.0,61079590564.0,7664272205.0,,20663879072.0,3783393507.0,,,,,,,,,,
20171231,와이엠티,66499060762.0,113971470557.0,,47472409795.0,24209113272.0,57098116399.0,8296648649.0,,22805135387.0,3762571210.0,,,,,,,,,,
20191231,우리조명,165113711325.0,674989562825.0,258538355250.0,509875851500.0,449619204368.0,387549082707.0,92741726764.0,,235316679639.0,,,,,,,,,,,
20181231,우리조명,158988804305.0,676603114380.0,277743554577.0,517614310075.0,455136010912.0,402082745759.0,97157957559.0,,263191731289.0,,,,,,,,,,,
20171231,우리조명,195453988340.0,682753087965.0,242196044390.0,487299099625.0,443033882266.0,402605544145.0,83118074970.0,,242315533046.0,,,,,,,,,,,
20191231,원익IPS,566554136000.0,899161666256.0,,332607530256.0,327047469524.0,552974783891.0,322203787596.0,,,,,,,,,,,,,
20181231,원익IPS,369216477149.0,512346016162.0,,143129539013.0,123966746925.0,331715602680.0,184483394045.0,,,,,,,,,,,,,
20171231,원익IPS,313468391500.0,409618120681.0,,96149729181.0,81536939874.0,280069098878.0,109839755424.0,,,,,,,,,,,,,
Statement of financial position(Unit: KWR).1,위닉스,,,,,,,8,,"5,27,28",27,,,,,,,,,,
20181231,위닉스,6016415198.0,15314306665.0,,9297891467.0,,,882024776.0,,4876348822.0,1200900852.0,,,,,,,,,,
20171231,위닉스,1000605151.0,12370516019.0,,11369910868.0,,,1077650610.0,,3951834448.0,1020236364.0,,,,,,,,,,
20191231,유니테크노,66324598779.0,115154024255.0,,48829425476.0,28330410051.0,45834343255.0,10485321010.0,,14903081368.0,11298820507.0,,,,,,,,,,
20181231,유니테크노,63744519007.0,109869101403.0,,46124582396.0,18126396983.0,44423243999.0,8902322772.0,,10388256564.0,8096981670.0,,,,,,,,,,
20171231,유니테크노,55234282116.0,75464203022.0,,20229920906.0,17106735976.0,39091583485.0,7003882879.0,,10503558224.0,7258293261.0,,,,,,,,,,
20191231,유비쿼스홀딩스,255050799467.0,295097245791.0,,40046446324.0,34280291545.0,194546444346.0,19647886828.0,,,,,,,,,,,,,
20181231,유비쿼스홀딩스,245648089523.0,278956100449.0,,33308010926.0,27726886455.0,172994875151.0,17498333921.0,,,,,,,,,,,,,
20171231,유비쿼스홀딩스,155739636707.0,161062413963.0,,5322777256.0,3465724036.0,90625162006.0,0.0,,,,,,,,,,,,,
20191231,이트론,65383990266.0,104903445343.0,,39519455077.0,7994532124.0,49795760925.0,3370385666.0,,,,,,,,,,,,,
20181231,이트론,44621645169.0,47028711448.0,,2407066279.0,2387066279.0,15984160654.0,470952883.0,,,,,,,,,,,,,
20171231,이트론,48726002111.0,53109109429.0,,4383107318.0,4367107318.0,47790465110.0,760944531.0,,,,,,,,,,,,,
20191231,잉글우드랩,52794148.0,99622872.0,,46828724.0,33250299.0,60913372.0,25568798.0,,21006276.0,11162779.0,,,,,,,,,,
20181231,잉글우드랩,50715890.0,93706161.0,,42990271.0,27236710.0,53014668.0,28632586.0,,19706642.0,11875352.0,,,,,,,,,,
20171231,잉글우드랩,56310308.0,86285861.0,,29975553.0,18228887.0,43367536.0,19003960.0,,14276859.0,6307165.0,,,,,,,,,,
