번호,회사명,종목코드,폐지일자,폐지사유,비고
1172,디피앤케이,189700,2017-08-31,지정자문인 선임계약 해지 후 30일이내 미체결(2017.08.17限),
1171,대성합동지주,005620,2017-08-25,해산 사유 발생,
1170,다린,204690,2017-08-02,상장폐지 신청('17.07.28),
1169,아시아퍼시픽15호,083620,2017-07-31,존속기간 만료,
1168,하나머스트3호스팩,208870,2017-07-31,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1167,아스팩오일,232360,2017-07-25,지정자문인 선임계약 해지 후 30일이내 미체결(2017.07.11限),
1166,웨이포트,900130,2017-07-25,상장폐지 신청('17.06.22),
1165,KB손해보험,002550,2017-07-21,지주회사(최대주주등)의 완전자회사화 등,
1164,KB캐피탈,021960,2017-07-21,지주회사(최대주주등)의 완전자회사화 등,
1163,비앤에스미디어,156170,2017-07-13,지정자문인 선임계약 해지 후 30일이내 미체결(2017.6.29限),
1162,카카오,035720,2017-07-10,유가증권시장 상장,카카오
1161,케이티비스팩1호,204650,2017-07-07,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1160,보루네오가구,004740,2017-07-05,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",
1159,아시아퍼시픽14호,083610,2017-06-20,신청에 의한 상장폐지,
1158,아시아10호,083570,2017-06-15,신청에 의한 상장폐지,
1157,현대에이블스팩1호,204760,2017-06-15,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1156,아시아퍼시픽13호,083600,2017-06-15,신청에 의한 상장폐지,
1155,아시아퍼시픽12호,083590,2017-06-15,신청에 의한 상장폐지,
1154,아시아퍼시픽11호,083580,2017-06-15,신청에 의한 상장폐지,
1153,금오하이텍,165270,2017-06-07,최종부도 발생,
1152,대우스팩2호,204440,2017-05-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,
1151,에스에스컴텍,036500,2017-05-11,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
1150,비엔씨컴퍼니,058370,2017-05-08,감사범위제한으로 인한 한정의견,
1149,신양오라컴,086830,2017-05-08,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
1148,코리아03호,090990,2017-04-25,감사의견 의견거절,
