"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20160101-20160630,20150101-20151231,20150101-20150630,20140101-20141231,20130101-20131231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_AdjustmentsForInterestIncome,이자수익,Adjustments for interest income                                                                                    ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,이자수익,-133216217.0,316554034.0,-212490082.0,173603448.0,143079498.0
dart_AdjustmentsForInterestExpenses,이자비용,Adjustments for Interest expenses                                                                                  ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,이자비용,218962020.0,705376989.0,466963711.0,817763899.0,209763529.0
ifrs_AdjustmentsForIncomeTaxExpense,법인세비용,Adjustments for income tax expense,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,법인세비용,,275052069.0,,254870475.0,-54461777.0
dart_AdjustmentsForDecreaseincreaseInMerchandise,상품의 감소(증가),Adjustments for decrease (increase) in merchandise,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,상품의 감소(증가),1442416.0,1921782.0,4271071.0,36547527.0,45976920.0
ifrs_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,매출채권의 감소(증가),Adjustments for decrease (increase) in trade accounts receivable,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,매출채권의 감소(증가),-1922898355.0,52279456.0,1345100583.0,-2445267519.0,47583975.0
dart_AdjustmentsForDecreaseincreaseInOtherReceivables,미수금의 감소(증가),Adjustments for decrease (increase) in other receivables,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,미수금의 감소(증가),-1356318771.0,1313453823.0,347627065.0,-252704129.0,-98759312.0
dart_AdjustmentsForDecreaseincreaseInAdvancePayments,선급금의 감소(증가),Adjustments for decrease (increase) in advance payments,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,선급금의 감소(증가),809907755.0,214039131.0,3741056707.0,-7354054011.0,-1271275472.0
dart_AdjustmentsForDecreaseincreaseInPrepaidExpenses,선급비용의 감소(증가),Adjustments for decrease (increase) in prepaid expenses,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,선급비용의 감소(증가),-296839778.0,-286624388.0,-45714346.0,-174913492.0,-218114544.0
dart_AdjustmentsForDecreaseincreaseInLongTermPrepaidExpenses,장기선급비용의 감소(증가),Adjustments for decrease (increase) in long-term prepaid expenses,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,장기선급비용의 감소(증가),50000000.0,,,-275000002.0,89444443.0
dart_AdjustmentsForIncreasedecreaseInOtherPayables,미지급금의 증가(감소),Adjustments for increase (decrease) in other payables,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,미지급금의 증가(감소),1951084390.0,-2127122502.0,-1260529190.0,965172310.0,-385381841.0
entity00122339_udf_CF_2016328192027706_AdjustmentsForReconcileProfitLoss,미지급세금의 증가(감소),NEWAccount for Adjustments to reconcile profit (loss) (34),현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,미지급세금의 증가(감소),,19131802.0,,,
dart_AdjustmentsForIncreasedecreaseInLongTermOtherPayables,장기미지급금의 증가(감소),Adjustments for increase (decrease) in long-term other payables,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,장기미지급금의 증가(감소),14674101.0,23066751.0,,,
dart_AdjustmentsForIncreasedecreaseInWithholdingsBanks,예수금의 증가(감소),Adjustments for increase (decrease) in withholdings Banks,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,예수금의 증가(감소),-729238332.0,362412313.0,-1025156860.0,133825219.0,-50976566.0
dart_AdjustmentsForIncreasedecreaseInAdvancesCustomers,선수금의 증가(감소),Adjustments for increase (decrease) in advances customers,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,선수금의 증가(감소),635684343.0,1069303258.0,-535124647.0,1297519361.0,-10015052.0
dart_AdjustmentsForIncreasedecreaseInLongTermAdvancesCustomers,장기선수금의 증가(감소),Adjustments for increase (decrease) in long-term advances customers,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,장기선수금의 증가(감소),-5044931.0,,,82387571.0,
dart_AdjustmentsForIncreasedecreaseInAccruedExpenses,미지급비용의 증가(감소),Adjustments for increase (decrease) in accrued Expenses,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,미지급비용의 증가(감소),598312057.0,-748764322.0,-1157723567.0,559771844.0,-543648321.0
dart_PaymentOfSeveranceBenefit,퇴직금의 지급,Payment of severance benefit                                                                      ,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,퇴직금의 지급,-13852440.0,11141070.0,-46369508.0,77366646.0,46578635.0
dart_AdjustmentsForDecreaseincreaseInAccruedIncome,미수수익의 감소(증가),Adjustments for decrease (increase) in accrued income,현금흐름표 [abstract],영업활동현금흐름,당기순이익조정을 위한 가감,미수수익의 감소(증가),-3273048.0,258900.0,657525.0,,
ifrs_InterestReceivedClassifiedAsOperatingActivities,이자수취,Interest received,현금흐름표 [abstract],영업활동현금흐름,이자수취,,109924641.0,506227806.0,26038360.0,40667445.0,63083419.0
ifrs_InterestPaidClassifiedAsOperatingActivities,이자지급,Interest paid,현금흐름표 [abstract],영업활동현금흐름,이자지급,,-287501820.0,382330991.0,-251741959.0,291387701.0,472814393.0
ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세납부(환급),Income taxes paid (refund),현금흐름표 [abstract],영업활동현금흐름,법인세납부(환급),,-121718525.0,629817013.0,-20906632.0,-21912622.0,17299717.0
ifrs_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동현금흐름,,,-381156180.0,-16423372656.0,1424013811.0,-3600778208.0,-1482681362.0
dart_ProceedsFromSalesOfInvestmentsInSubsidiariesJointVenturesAndAssociates,프로젝트투자자산의 처분,"Proceeds from sales of investments in subsidiaries, joint ventures and associates",현금흐름표 [abstract],투자활동현금흐름,프로젝트투자자산의 처분,,,19350935.0,10510710.0,27932091.0,1051888565.0
dart_ProceedsFromSalesOfInvestmentsInAssociates,종속기업및관계기업투자의 처분,Proceeds from sales of investments in associates,현금흐름표 [abstract],투자활동현금흐름,종속기업및관계기업투자의 처분,,10219702000.0,2800700000.0,2037670000.0,,
ifrs_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"Proceeds from sales of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 처분,,58146687.0,22272727.0,10000000.0,63545455.0,4545455.0
dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 감소,Proceeds from sales of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 감소,,1804032698.0,2478008267.0,1395612647.0,,676752790.0
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits                                                                       ,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,,1196560915.0,514940080.0,95464040.0,,
dart_ProceedsFromSalesOfShortTermFinancialInstruments,단기금융상품 처분,Proceeds from sales of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품 처분,,,7759560344.0,3413811499.0,664250655.0,708682859.0
entity00122339_udf_CF_2013321181726755_CashFlowsFromUsedInInvestingActivities,단기매매증권 처분,NEWAccount for Cash flows from (used in) investing activities (2),현금흐름표 [abstract],투자활동현금흐름,단기매매증권 처분,,606091091.0,,,397837462.0,1437967947.0
entity00122339_udf_CF_201411191728663_CashFlowsFromUsedInInvestingActivities,매도가능증권의 처분,NEWAccount for Cash flows from (used in) investing activities (6),현금흐름표 [abstract],투자활동현금흐름,매도가능증권의 처분,,1049685000.0,1556089621.0,1196810977.0,2320638875.0,
