"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_DecreaseInGuaranteeDeposits,보증금의 감소,Decrease in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 감소,,17356000.0,316473100.0,147763500.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 감소,Proceeds from sales of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 감소,,860000000.0,460000000.0,
entity00240857_udf_CF_202033105657145_CashFlowsFromUsedInInvestingActivities,사업결합으로 인한 현금증가,Cash flows used in obtaining control of subsidiaries,현금흐름표 [abstract],투자활동현금흐름,사업결합으로 인한 현금증가,,,140266365.0,
dart_ProceedsFromSalesOfLongTermLoansAndReceivables,장기대여금의 감소,Proceeds from sales of long-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 감소,,,59414016.0,
dart_ProceedsFromSalesOfCurrentAvailableForSaleFinancialAssets,당기손익 공정가치측정 금융자산의 처분,Proceeds from sales of current available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,당기손익 공정가치측정 금융자산의 처분,,52765777.0,,
dart_ProceedsFromSalesOfInvestmentsInAssociates,관계기업투자의 처분,Proceeds from sales of investments in associates,현금흐름표 [abstract],투자활동현금흐름,관계기업투자의 처분,,31422367000.0,,
dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 증가,Purchase of short term Financial Instruments,현금흐름표 [abstract],투자활동현금흐름,단기금융상품의 증가,,44988704190.0,2032336784.0,3625034290.0
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금의 증가,Purchase of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금의 증가,,8296000000.0,292790071.0,
ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"Purchase of property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,유형자산의 취득,,4749694654.0,3332721830.0,3378109873.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,,1999221288.0,801776247.0,558532245.0
dart_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 취득,,,6371910.0,11000000.0
dart_PurchaseOfCurrentAvailableForSaleFinancialAssets,매도가능증권의 취득,Purchase of current available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능증권의 취득,,,100000000.0,1930576769.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 증가,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 증가,,815369244.0,231112286.0,710297240.0
dart_IncreaseInGuaranteeDeposits,보증금의 증가,Increase in guarantee deposits,현금흐름표 [abstract],투자활동현금흐름,보증금의 증가,,32371000.0,136360000.0,140830000.0
dart_PurchaseOfInvestmentsInSubsidiaries,종속기업의 취득,Purchase of investments in subsidiaries,현금흐름표 [abstract],투자활동현금흐름,종속기업의 취득,,,7608964660.0,
dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 증가,Purchase of long-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,장기대여금의 증가,,10000000.0,40000000.0,
dart_PurchaseOfAvailableForSaleFinancialAssets,당기손익 공정가치측정 금융자산의 취득,Purchase of fair value financial assets,현금흐름표 [abstract],투자활동현금흐름,당기손익 공정가치측정 금융자산의 취득,,100000000.0,,
entity00240857_udf_CF_2020331163773_CashFlowsFromUsedInInvestingActivities,기타투자활동 현금유출,Other outflows of cash,현금흐름표 [abstract],투자활동현금흐름,기타투자활동 현금유출,,22000000.0,,
entity00240857_udf_CF_202033103739584_CashFlowsFromUsedInInvestingActivities,사용권자산의 증가,Adjustments for increase in right-of-use asset,현금흐름표 [abstract],투자활동현금흐름,사용권자산의 증가,,1598393581.0,,
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,8077413725.0,5221875650.0,-4945233564.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,,32021875080.0,9930520000.0,3160000000.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 차입,,8259150000.0,1000000000.0,7651589182.0
dart_ProceedsFromConvertibleBonds,전환사채의 발행,Proceeds from convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 발행,,1000000000.0,4000000500.0,
entity00240857_udf_CF_202033103959800_CashFlowsFromUsedInFinancingActivities,유상증자(종속기업),capital increase with consideration,현금흐름표 [abstract],재무활동현금흐름,유상증자(종속기업),,4317215030.0,,
dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 증가,,15000000.0,,
dart_ProceedsFromFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 증가,Proceeds from lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 증가,,1598393581.0,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,31771524064.0,6442233000.0,14405000000.0
entity00240857_udf_CF_202022617314207_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Repayment of long-term debt,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의 상환,,2420589000.0,2355375034.0,987052935.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,,509973793.0,200000000.0,34451236.0
dart_RepaymentsOfConvertibleBonds,전환사채의 상환,Repayments of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 상환,,1000003622.0,36816.0,1575.0
entity00240857_udf_CF_20202261741551_CashFlowsFromUsedInFinancingActivities,구상채권의 상환,repayment of right indemnity,현금흐름표 [abstract],재무활동현금흐름,구상채권의 상환,,1500000000.0,700000000.0,
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,보증금의 감소,,,11000000.0,330317000.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 지급,Payments of finance lease liabilities,현금흐름표 [abstract],재무활동현금흐름,리스부채의 지급,,1932129487.0,,
entity00240857_udf_CF_202022617511916_StatementOfCashFlowsAbstract,기타현금의증가(합병으로인한 승계),Increase of other cash,현금흐름표 [abstract],기타현금의증가(합병으로인한 승계),,,,1175343142.0,-4245137341.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,-15578702.0,4198680.0,-7503111.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,,16794854340.0,2498502562.0,-2910201339.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,7506528618.0,5008026056.0,8519681912.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,24301382958.0,7506528618.0,5609480573.0
