"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
dart_PurchaseOfShortTermLoansAndReceivables,단기대여금및수취채권의 취득,Purchase of short-term loans and receivables,현금흐름표 [abstract],투자활동현금흐름,단기대여금및수취채권의 취득,8844632541.0,12552435095.0,5310087820.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Purchase of long-term financial instruments,현금흐름표 [abstract],투자활동현금흐름,장기금융상품의 취득,12000000.0,14000000.0,78417544.0
entity00351579_udf_CF_202032614929251_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치금융자산의 취득,"Purchase of financial assets at fair value through profit or loss, mandatorily measured at fair value",현금흐름표 [abstract],투자활동현금흐름,당기손익-공정가치금융자산의 취득,2668837004.0,,
entity00351579_udf_CF_2020326141038926_CashFlowsFromUsedInInvestingActivities,기타포괄손익-공정가치금융자산의 취득,Purchase of financial assets measured at fair value through other comprehensive income,현금흐름표 [abstract],투자활동현금흐름,기타포괄손익-공정가치금융자산의 취득,8365530837.0,,
dart_PurchaseOfAvailableForSaleFinancialAssets,매도가능금융자산의 취득,Purchase of available-for-sale financial assets,현금흐름표 [abstract],투자활동현금흐름,매도가능금융자산의 취득,,7590377801.0,1419837434.0
dart_PurchaseOfInvestmentsInSubsidiaries,종속기업에 대한 투자자산의 취득,Purchase of investments in subsidiaries,현금흐름표 [abstract],투자활동현금흐름,종속기업에 대한 투자자산의 취득,1559460123.0,3403047538.0,5164832469.0
dart_PurchaseOfInvestmentProperty,투자부동산의 취득,Purchase of investment property,현금흐름표 [abstract],투자활동현금흐름,투자부동산의 취득,,,7151629138.0
dart_PurchaseOfLand,토지의 취득,Purchase of land,현금흐름표 [abstract],투자활동현금흐름,토지의 취득,,7098586.0,6332456989.0
dart_PurchaseOfBuildings,건물의 취득,Purchase of buildings,현금흐름표 [abstract],투자활동현금흐름,건물의 취득,,7476934.0,10194573285.0
dart_PurchaseOfOfficeEquipment,사무용비품의 취득,Purchase of office equipment,현금흐름표 [abstract],투자활동현금흐름,사무용비품의 취득,98859433.0,118504172.0,1740194869.0
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동현금흐름,무형자산의 취득,3308742356.0,3187549617.0,3833712567.0
dart_PurchaseOfOtherPropertyPlantAndEquipment,기타유형자산의 취득,"Purchase of other property, plant and equipment",현금흐름표 [abstract],투자활동현금흐름,기타유형자산의 취득,8000000.0,72677250.0,154046523.0
