"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
entity00361594_udf_CF_201711921358522_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,차량운반구의취득,Purchase of vehicles,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,차량운반구의취득,71919675.0,37228463.0,249635324.0
entity00361594_udf_CF_2017119213525978_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,공구와기구의취득,Purchase of fixtures and fittings,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,공구와기구의취득,99191057.0,80482002.0,101071600.0
entity00361594_udf_CF_201711921357726_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,구축물의취득,Purchase of structure,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,구축물의취득,0.0,1985170.0,58535919.0
entity00361594_udf_CF_2017119213526509_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,비품의취득,Purchase off office equipment,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,비품의취득,186960452.0,316992103.0,319724534.0
entity00361594_udf_CF_2017119213620454_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,시설공사의취득,Proceeds from sales of other construction in progress,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,시설공사의취득,0.0,71369000.0,294170306.0
entity00361594_udf_CF_201941111336899_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,기타유형자산의 취득,entity00361594_udf_CF_201941111336899,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,기타유형자산의 취득,1445240.0,19659351.0,0.0
entity00361594_udf_CF_2017119213634260_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,건설중인자산의증가,Purchase of construction in progress,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,건설중인자산의증가,256674647.0,377464917.0,332248100.0
entity00361594_udf_CF_2017119213658908_udf_CF_2017119213033119_CashFlowsFromUsedInInvestingActivities,소프트웨어의증가,Purchase of computer software,현금흐름표 [abstract],투자활동현금흐름,투자활동으로인한현금유출액,소프트웨어의증가,95762241.0,479036681.0,1070451897.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동현금흐름,,,-28509075640.0,22775362661.0,13986719169.0
entity00361594_udf_CF_2020327202547468_CashFlowsFromUsedInFinancingActivities,정부보조금의 수령,Government subsidies,현금흐름표 [abstract],재무활동현금흐름,정부보조금의 수령,,28313386.0,0.0,0.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 차입,,121860983213.0,231696676560.0,39862676280.0
entity00361594_udf_CF_2018330164651782_CashFlowsFromUsedInFinancingActivities,장기차입금의 차입,e,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 차입,,0.0,6000000000.0,0.0
entity00361594_udf_CF_2020327202651346_CashFlowsFromUsedInFinancingActivities,사채의발행,Accounting for the issuance of bonds,현금흐름표 [abstract],재무활동현금흐름,사채의발행,,5150104452.0,0.0,0.0
dart_ProceedsFromExerciseOfShareOptions,주식선택권행사로 인한 현금유입,Proceeds from exercise of share options,현금흐름표 [abstract],재무활동현금흐름,주식선택권행사로 인한 현금유입,,37507800.0,361438000.0,1129620000.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,,143381931164.0,213207014049.0,18718089261.0
entity00361594_udf_CF_201941111628782_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,entity00361594_udf_CF_201941111628782,현금흐름표 [abstract],재무활동현금흐름,유동성장기부채의 상환,,4400000000.0,930000000.0,1160000000.0
entity00361594_udf_CF_2020327202756572_CashFlowsFromUsedInFinancingActivities,유동리스부채의 상환,Accounting for repayment of current lease liabilities,현금흐름표 [abstract],재무활동현금흐름,유동리스부채의 상환,,502734817.0,0.0,0.0
dart_RepaymentsOfBonds,사채의 상환,Repayments of bonds,현금흐름표 [abstract],재무활동현금흐름,사채의 상환,,0.0,0.0,6000000000.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동현금흐름,자기주식의 취득,,5000342810.0,0.0,0.0
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금지급,Dividends paid,현금흐름표 [abstract],재무활동현금흐름,배당금지급,,2300975700.0,1145737850.0,1127487850.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금및현금성자산의 순증가(감소),Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes,현금흐름표 [abstract],환율변동효과 반영전 현금및현금성자산의 순증가(감소),,,-5544548934.0,-3773128908.0,13381029995.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,,12415579268.0,16050268314.0,2680067344.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산에 대한 환율변동효과,,,3849065804.0,138439862.0,-10829025.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,,10720096138.0,12415579268.0,16050268314.0
