"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,Purchase of intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,무형자산의 취득,,524000.0,0.0,0.0
entity01071944_udf_CF_201843011648853_CashFlowsFromUsedInInvestingActivities,기타수취채권의 증가,Purchase of other current receivables,현금흐름표 [abstract],투자활동으로 인한 현금흐름,기타수취채권의 증가,,2567995045.0,2957252080.0,0.0
ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동으로 인한 현금흐름,Cash flows from (used in) financing activities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,,,-291596167.0,970771466.0,-1750709184.0
dart_ProceedsFromShortTermBorrowings,단기차입금의 차입,Proceeds from short term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기차입금의 차입,,4489637385.0,4686745547.0,3462380119.0
dart_ProceedsFromLongTermBorrowings,장기차입금의 차입,Proceeds from long term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,장기차입금의 차입,,0.0,0.0,500000000.0
entity01071944_udf_CF_201982010488343_CashFlowsFromUsedInFinancingActivities,기타금융부채의 증가,Adjustments for increase in other non-current financial liabilities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,기타금융부채의 증가,,233464000.0,0.0,0.0
dart_DispositionOfTreasuryShares,자기주식의 처분,Disposition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 현금흐름,자기주식의 처분,,0.0,0.0,518010120.0
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기차입금의 상환,,4870502592.0,3214715241.0,6224545184.0
entity01071944_udf_CF_201852992640459_CashFlowsFromUsedInFinancingActivities,유동성장기부채의 상환,Repayments of Current portion of long-term borrowings,현금흐름표 [abstract],재무활동으로 인한 현금흐름,유동성장기부채의 상환,,0.0,500000000.0,0.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,단기리스부채의 상환,Payments of short term lease liabilities,현금흐름표 [abstract],재무활동으로 인한 현금흐름,단기리스부채의 상환,,144194960.0,0.0,0.0
dart_PaymentForStockIssueCost,주식발행비의 지급,Payment for stock issue cost,현금흐름표 [abstract],재무활동으로 인한 현금흐름,주식발행비의 지급,,0.0,1258840.0,6540000.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,현금흐름표 [abstract],재무활동으로 인한 현금흐름,자기주식의 취득,,0.0,0.0,14239.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금성 자산의 환율변동,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],외화표시 현금성 자산의 환율변동,,,8958428.0,18623958.0,-35794236.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금 및 현금성자산의 순증감,Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금 및 현금성자산의 순증감,,,2383487692.0,-13114522256.0,8930185041.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금 및 현금성 자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초의 현금 및 현금성 자산,,,2081217757.0,15195740013.0,6265554972.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금 및 현금성 자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말의 현금 및 현금성 자산,,,4464705449.0,2081217757.0,15195740013.0
