"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_AdjustmentsForIncreasedecreaseInOtherPayables,미지급금의 증가(감소),Adjustments for increase (decrease) in other payables,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,미지급금의 증가(감소),-827439984.0,-314251110.0,1848022755.0
dart_AdjustmentsForIncreasedecreaseInAccruedExpenses,미지급비용의 증가(감소),Adjustments for increase (decrease) in accrued Expenses,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,미지급비용의 증가(감소),-114066746.0,852498686.0,582951689.0
dart_AdjustmentsForIncreasedecreaseInAdvancesCustomers,선수금의 감소,Adjustments for increase (decrease) in advances customers,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,선수금의 감소,-2172405838.0,-245967787.0,-2562415285.0
dart_AdjustmentsForIncreasedecreaseInWithholdingsBanks,예수금의 증가(감소),Adjustments for increase (decrease) in withholdings Banks,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,예수금의 증가(감소),125318780.0,-266245419.0,258612805.0
entity00625942_udf_CF_2019111015134361_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,부가세대급금의 감소(증가),Prepaid Value Added Tax of increase,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,부가세대급금의 감소(증가),230897591.0,675470919.0,-388307311.0
entity00625942_udf_CF_2019111015157422_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,순확정급여부채의 감소,Increase of the net defined benefit liability,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,순확정급여부채의 감소,-3065309776.0,-2210352616.0,-1838973737.0
entity00625942_udf_CF_2019111015218271_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,계약자산의 증가,Contract Asset,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,계약자산의 증가,-123751313.0,-478318406.0,
entity00625942_udf_CF_2019111015225861_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,계약부채의 증가(감소),contract liabilities,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로인한자산ㆍ부채의변동,계약부채의 증가(감소),-543277267.0,543277267.0,
entity00625942_udf_CF_2019111015332821_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금수취액,Cash receiving due to business activity,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로 인한 현금수취액,,81748964.0,48798999.0,54278534.0
entity00625942_udf_CF_2019111015350580_udf_CF_2019111015332821_CashFlowsFromUsedInOperatingActivities,이자수익 수취,Interest received,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로 인한 현금수취액,이자수익 수취,81748964.0,48798999.0,54278534.0
entity00625942_udf_CF_201911101546803_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금지급액,Cash pressing due to business activity,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로 인한 현금지급액,,4744950421.0,4133409846.0,2409815999.0
entity00625942_udf_CF_2019111015428774_udf_CF_201911101546803_CashFlowsFromUsedInOperatingActivities,이자비용 지급,Interest profit pressing,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로 인한 현금지급액,이자비용 지급,3441462202.0,2945617562.0,2242023407.0
entity00625942_udf_CF_2019111015446500_udf_CF_201911101546803_CashFlowsFromUsedInOperatingActivities,법인세납부,Income taxes paid,현금흐름표 [abstract],영업활동으로 인한 현금흐름,영업활동으로 인한 현금지급액,법인세납부,1303488219.0,1187792284.0,167792592.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,Cash flows from (used in) investing activities,현금흐름표 [abstract],투자활동으로 인한 현금흐름,,,3639331894.0,-22293275485.0,-19173514862.0
entity00625942_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금유입액,Cash inflow due to investment activity,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,,9540668798.0,1246153428.0,298407186.0
entity00625942_udf_CF_2019111015738771_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,단기대여금의 회수,Purchase of short-term loans,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,단기대여금의 회수,694871373.0,161511359.0,209941738.0
entity00625942_udf_CF_2019111015751291_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,단기금융상품의 감소,Proceeds from sales of short-term financial instruments,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,단기금융상품의 감소,330000000.0,376848251.0,55577208.0
entity00625942_udf_CF_201911101586204_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,보증금의 감소,Adjustments for increase in deposits provided,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,보증금의 감소,1085692911.0,645312000.0,5179150.0
entity00625942_udf_CF_2019111015821322_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,유형자산의 처분,Disposal of tangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,유형자산의 처분,208590910.0,41681818.0,27709090.0
entity00625942_udf_CF_2019111015847337_udf_CF_2019111015535167_CashFlowsFromUsedInInvestingActivities,무형자산의 처분,Disposal  of intangible assets,현금흐름표 [abstract],투자활동으로 인한 현금흐름,투자활동으로 인한 현금유입액,무형자산의 처분,535454545.0,,
