"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20190101-20191231,20180101-20181231,20170101-20171231
ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금의 지급,Dividends paid,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,배당금의 지급,42784471206.0,44706406200.0,19543577760.0
ifrs-full_RepaymentsOfBorrowingsClassifiedAsFinancingActivities,차입금의 상환,Repayments of borrowings,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,차입금의 상환,22614777939.0,40378267983.0,54604364171.0
dart_RepaymentsOfConvertibleBonds,전환사채의 상환,Repayments of convertible bonds,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,전환사채의 상환,1608353879.0,578369200.0,1517807.0
ifrs-full_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,리스부채의 상환,Payments of finance lease liabilities,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,리스부채의 상환,2134877306.0,0.0,0.0
dart_AcquisitionOfTreasuryShares,자기주식의 취득,Acquisition of treasury shares,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,자기주식의 취득,600630300.0,89225308500.0,0.0
dart_PaymentForStockIssueCost,주식발행비용,Payment for stock issue cost,ifrs-full:StatementOfCashFlowsAbstract,재무활동으로 인한 현금흐름,주식발행비용,0.0,254906.0,82270300.0
ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,현금및현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,현금및현금성자산에 대한 환율변동효과,,-47538605.0,1747321643.0,-8296570666.0
ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금의 증감,Net increase (decrease) in cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,현금의 증감,,-120329317736.0,-256551467986.0,309452065274.0
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금,Cash and cash equivalents at beginning of period,ifrs-full:StatementOfCashFlowsAbstract,기초의 현금,,329313712831.0,585865180817.0,276413115543.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말의 현금,Cash and cash equivalents at end of period,ifrs-full:StatementOfCashFlowsAbstract,기말의 현금,,208984395095.0,329313712831.0,585865180817.0
