"[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20170101-20171231,20160101-20161231,20150101-20151231,20140101-20141231,20130101-20131231,20120101-20121231,20110101-20111231,20100101-20101231
concept_id,label_ko,label_en,class0,class1,class2,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_IncreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 증가,Increase in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 증가,,44094000.0,,557100000.0,,1654600000.0,80000000.0,50000000.0
entity00599887_udf_CF_2018329132227625_CashFlowsFromUsedInFinancingActivities,유상증자,-,현금흐름표 [abstract],재무활동현금흐름,유상증자,,19200649309.0,31522715478.0,16002809517.0,23926365953.0,5000000.0,50000000.0,
entity00599887_udf_CF_20171113101539377_CashFlowsFromUsedInFinancingActivities,수입보증금의 증가,Increase in import guarantee money,현금흐름표 [abstract],재무활동현금흐름,수입보증금의 증가,300000.0,8700000.0,,,,,,
dart_RepaymentsOfShortTermBorrowings,단기차입금의 상환,Repayments of short term borrowings,현금흐름표 [abstract],재무활동현금흐름,단기차입금의 상환,37274911000.0,35532086000.0,72048936830.0,,488683350.0,70136341830.0,55450000000.0,35383000000.0
entity00599887_udf_CF_20171113101652485_CashFlowsFromUsedInFinancingActivities,유동성장기차입금의 상환,Repayments of current portion of long-term borrowings,현금흐름표 [abstract],재무활동현금흐름,유동성장기차입금의 상환,37599999998.0,38938150000.0,61910000000.0,57000000000.0,10931269151.0,6488821174.0,2945596758.0,548372000.0
dart_RepaymentsOfLongTermBorrowings,장기차입금의 상환,Repayments of long term borrowings,현금흐름표 [abstract],재무활동현금흐름,장기차입금의 상환,2259999998.0,3000000000.0,6500000000.0,,10976490440.0,18220000000.0,560753582.0,
dart_DecreaseInGuaranteeDepositsAsFinancialActivities,임대보증금의 감소,Decrease in guarantee deposits as financial activities,현금흐름표 [abstract],재무활동현금흐름,임대보증금의 감소,182400000.0,,35420000.0,,235000000.0,,50000000.0,
dart_RepaymentsOfConvertibleBonds,전환사채의 감소,Repayments of convertible bonds,현금흐름표 [abstract],재무활동현금흐름,전환사채의 감소,150250000.0,,,,,,,
entity00599887_udf_CF_20171113101812701_StatementOfCashFlowsAbstract,연결실체의 변동,Change of consolidated entity,현금흐름표 [abstract],연결실체의 변동,,,,9216891.0,-110302406.0,-1329013.0,,,
ifrs_EffectOfExchangeRateChangesOnCashAndCashEquivalents,환율변동효과,Effect of exchange rate changes on cash and cash equivalents,현금흐름표 [abstract],환율변동효과,,-410898355.0,97985651.0,-41893799.0,-4060000.0,-56232847.0,-128437912.0,-5504793.0,1068640.0
ifrs_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의순증가(감소),Net increase (decrease) in cash and cash equivalents,현금흐름표 [abstract],현금및현금성자산의순증가(감소),,3415521808.0,3140850333.0,8291835846.0,1413351400.0,,,,
dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초현금및현금성자산,Cash and cash equivalents at beginning of period,현금흐름표 [abstract],기초현금및현금성자산,,13877327912.0,10736477579.0,2444641733.0,1031290333.0,6177758983.0,13039369047.0,3443134163.0,8074381373.0
dart_CashAndCashEquivalentsAtEndOfPeriodCf,기말현금및현금성자산,Cash and cash equivalents at end of period,현금흐름표 [abstract],기말현금및현금성자산,,17292849720.0,13877327912.0,10736477579.0,2444641733.0,1031290333.0,6177758983.0,13039369047.0,3443134163.0
