"[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20181231,20171231,20161231,20151231,20141231,20131231,20121231,20111231,20101231,20100101
concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
dart_CurrentDerivativeLiabilities,파생상품부채,Current derivative liabilities,재무상태표 [abstract],부채 [abstract],유동부채,파생상품부채,4704922996.0,,,,,,,,,
dart_OtherCurrentLiabilities,기타유동부채,Other current liabilities,재무상태표 [abstract],부채 [abstract],유동부채,기타유동부채,865738711.0,347482482.0,425021813.0,350644587.0,203989308.0,220084029.0,228081186.0,703872336.0,757455610.0,370777571.0
ifrs_CurrentProvisions,기타충당부채,Current provisions,재무상태표 [abstract],부채 [abstract],유동부채,기타충당부채,,130738063.0,,,,,,,,
ifrs_NoncurrentLiabilities,비유동부채,Non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,,1216834915.0,870375285.0,1189499793.0,1009808911.0,4250957153.0,5849869091.0,6632422346.0,8296298095.0,16099561296.0,14624976344.0
dart_PostemploymentBenefitObligations,순확정급여부채,Post-employment benefit obligations,재무상태표 [abstract],부채 [abstract],비유동부채,순확정급여부채,1187345771.0,862950781.0,1189499793.0,896808911.0,966207998.0,1311105727.0,1644469022.0,2139734337.0,1895542033.0,783733364.0
dart_OtherNonCurrentLiabilities,기타비유동부채,Other non-current liabilities,재무상태표 [abstract],부채 [abstract],비유동부채,기타비유동부채,29489144.0,7424504.0,,2812834.0,14584391.0,35569337.0,44178463.0,19090484.0,2063388.0,4682727.0
ifrs_Liabilities,부채총계,Total liabilities,재무상태표 [abstract],부채 [abstract],부채총계,,36499681399.0,27204008274.0,18568818314.0,22294972051.0,27557203018.0,65912903099.0,71532950563.0,97236378383.0,124462608826.0,56920420239.0
ifrs_EquityAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 자본,Equity attributable to owners of parent,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,,30034620108.0,28835559288.0,34465512836.0,31980877417.0,26005640233.0,31626813519.0,17564573621.0,17487644568.0,18727091185.0,14367202694.0
ifrs_IssuedCapital,자본금,Issued capital,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,58342461000.0,45913037000.0,34400215500.0,30030376000.0,24962870000.0,24962870000.0,24962870000.0,24962870000.0,24962870000.0,4200000000.0
ifrs_SharePremium,주식발행초과금,Share premium,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,주식발행초과금,22235174448.0,21320525635.0,18251800793.0,11106859049.0,6273088120.0,6273088120.0,6273088120.0,6273088120.0,6273088120.0,2346401089.0
dart_OtherComprehensiveIncomeLossAccumulatedAmount,기타포괄손익누계액,Other Comprehensive income/loss accumulated amount,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타포괄손익누계액,15991965.0,88454297.0,-72690545.0,-38378136.0,50743305.0,105753458.0,88315339.0,-18786294.0,-17304961.0,
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Elements of other stockholder's equity,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,기타자본항목,679714300.0,2207555978.0,1418503094.0,1531478675.0,1072050726.0,-14394645.0,-14394645.0,-1666762001.0,-1666762001.0,-1589024400.0
ifrs_RetainedEarnings,이익잉여금(결손금),Retained earnings,재무상태표 [abstract],자본 [abstract],지배기업의 소유주에게 귀속되는 자본,이익잉여금(결손금),-51238721605.0,-40694013622.0,-19532316006.0,-10649458171.0,-6353111918.0,299496586.0,-13745305193.0,-12062765257.0,-10824799973.0,9409826005.0
ifrs_NoncontrollingInterests,비지배지분,Non-controlling interests,재무상태표 [abstract],자본 [abstract],비지배지분,,,198477.0,,,,,,,,
ifrs_Equity,자본총계,Total equity,재무상태표 [abstract],자본 [abstract],자본총계,,30034620108.0,28835757765.0,34465512836.0,31980877417.0,26005640233.0,31626813519.0,17564573621.0,17487644568.0,18727091185.0,14367202694.0
ifrs_EquityAndLiabilities,자본과부채총계,Total equity and liabilities,재무상태표 [abstract],자본과부채총계,,,66534301507.0,56039766039.0,53034331150.0,54275849468.0,53562843251.0,97539716618.0,89097524184.0,114724022951.0,143189700011.0,71287622933.0
