date,company,매출총이익,법인세비용차감전순이익(손실),당기순이익(손실),법인세비용차감전순이익,당기순이익,당기순이익의 귀속,법인세비용차감전순손실,당기순이익(손실).,계속영업당기순이익,중단영업당기순이익
20181231,엘오티베큠,59478946067.0,,,19607547215.0,16841766717.0,,,,,
20171231,엘오티베큠,62263113365.0,,,28639334550.0,24341204027.0,,,,,
20191231,예스티,-5853294455.0,-38042736740.0,-30764652372.0,,,,,,,
20181231,예스티,13775183652.0,-2141857818.0,-690979330.0,,,,,,,
20171231,예스티,28018227596.0,22833371605.0,18442949894.0,,,,,,,
20191231,오르비텍,8485851621.0,,978333446.0,1297132765.0,,,,,,
20181231,오르비텍,8243234963.0,,3376010434.0,3122444763.0,,,,,,
20171231,오르비텍,7191721235.0,,2591039504.0,2486490778.0,,,,,,
20191231,와이엔텍,29304889061.0,24178024119.0,18424856953.0,,,,,,,
20181231,와이엔텍,17613984298.0,12095136635.0,9033205090.0,,,,,,,
20171231,와이엔텍,16486033663.0,14841188218.0,11581612033.0,,,,,,,
20191231,와이엠티,36615668860.0,,,21575636221.0,17381442634.0,,,,,
20181231,와이엠티,28240340290.0,,,11861599272.0,9785211759.0,,,,,
20171231,와이엠티,27661496030.0,,,12057839423.0,9011950251.0,,,,,
20191231,우리조명,,,5398647998.0,,,,,,,
20181231,우리조명,,,-35260613388.0,,,,,,,
20171231,우리조명,,,-23280042465.0,,,,,,,
20191231,원익IPS,279066767300.0,43461147899.0,42862674126.0,,,,,,,
20181231,원익IPS,257875654984.0,109813867132.0,86860388555.0,,,,,,,
20171231,원익IPS,251226286027.0,124270338244.0,95364580825.0,,,,,,,
20191231,유니테크노,12096945293.0,6967711070.0,5546481437.0,,,,,,,
20181231,유니테크노,12021935536.0,6949890039.0,5558480433.0,,,,,,,
20171231,유니테크노,12930148777.0,7552291016.0,6202733164.0,,,,,,,
20191231,유비쿼스홀딩스,37924806875.0,16705351031.0,,,13911860744.0,,,,13911860744.0,0.0
20181231,유비쿼스홀딩스,37141868861.0,18976309917.0,,,16668486257.0,,,,16668486257.0,0.0
20171231,유비쿼스홀딩스,6628195894.0,11111677992.0,,,96694231555.0,,,,8810973240.0,87883258315.0
20191231,이트론,2671670983.0,-2551330062.0,-3157363264.0,,,,,,,
20181231,이트론,496182112.0,-6252593031.0,-6233930211.0,,,,,,,
20171231,이트론,1908795412.0,709045985.0,-1863753241.0,,,,,,,
20191231,잉글우드랩,22183899.0,4839732.0,1946160.0,,,,,,,
20181231,잉글우드랩,17684805.0,-4379289.0,-5361123.0,,,,,,,
20171231,잉글우드랩,11035824.0,-13391430.0,-12272228.0,,,,,,,
20191231,제우스,81863928527.0,19429890956.0,14176254119.0,,,,,,,
20181231,제우스,109625752360.0,42096348263.0,31042534971.0,,,,,,,
20171231,제우스,97950722151.0,25402327745.0,18870684231.0,,,,,,,
20191231,조아제약,29718641732.0,-1155664490.0,-1121859703.0,,,,,,,
20181231,조아제약,29149905907.0,372107626.0,616663145.0,,,,,,,
20171231,조아제약,28384287343.0,754139555.0,1377251852.0,,,,,,,
20191231,코디엠,1877122363.0,4111599553.0,4110667267.0,,,,,,,
20181231,코디엠,-936516037.0,-10397868293.0,-12145462477.0,,,,,,,
20171231,코디엠,8315004124.0,-3978221259.0,-4047905433.0,,,,,,,
20191231,톱텍,21084523015.0,3340404315.0,210762299.0,,,,,,,
20181231,톱텍,27291789557.0,30229087868.0,17690790585.0,,,,,,,
20171231,톱텍,231068362096.0,190197884106.0,149466119741.0,,,,,,,
20191231,파커스,5604762391.0,-4157309474.0,-3785758064.0,,,,,,,
20181231,파커스,11625134287.0,4678354325.0,4523593272.0,,,,,,,
20171231,파커스,10196061327.0,-2488130070.0,-2587245117.0,,,,,,,
20191231,휴림로봇,2566585107.0,-9519403684.0,-9519403684.0,,,,,,,
20181231,휴림로봇,2736815004.0,-18128689566.0,-19026770757.0,,,,,,,
20171231,휴림로봇,15320679141.0,901796302.0,1742449816.0,,,,,,,
